"Woonplaatsen in Nederland, 2012"
"Onderwerpen";"Woonplaats";"Woonplaats";"Gemeente";"Gemeente"
"Mariënberg";"Mariënberg";"1558";"Hardenberg";"0160"
"Mariënheem";"Mariënheem";"1493";"Raalte";"0177"
"Mariënvelde";"Mariënvelde";"2230";"Oost Gelre";"1586"
"Marijenkampen";"Marijenkampen";"2705";"Steenwijkerland";"1708"
"Markelo";"Markelo";"1444";"Hof van Twente";"1735"
"Marken";"Marken";"1943";"Waterland";"0852"
"Markenbinnen";"Markenbinnen";"1904";"Graft-De Rijp";"0365"
"Marknesse";"Marknesse";"1274";"Noordoostpolder";"0171"
"Marle";"Marle";"1383";"Olst-Wijhe";"1773"
"Marrum";"Marrum";"3208";"Ferwerderadiel";"1722"
"Marsum";"Marsum";"2730";"Menameradiel";"1908"
"Marum";"Marum";"2263";"Marum";"0025"
"Marwijksoord";"Marwijksoord";"1170";"Aa en Hunze";"1680"
"Mastenbroek";"Mastenbroek";"2200";"Zwartewaterland";"1896"
"Mastenbroek";"Mastenbroek";"2901";"Kampen";"0166"
"Matsloot";"Matsloot";"1641";"Noordenveld";"1699"
"Maurik";"Maurik";"3380";"Buren";"0214"
"Mechelen";"Mechelen";"1231";"Gulpen-Wittem";"1729"
"Medemblik";"Medemblik";"3151";"Medemblik";"0420"
"Meeden";"Meeden";"2277";"Menterwolde";"1987"
"Meedhuizen";"Meedhuizen";"3240";"Delfzijl";"0010"
"Meerkerk";"Meerkerk";"2108";"Zederik";"0707"
"Meerlo";"Meerlo";"1858";"Horst aan de Maas";"1507"
"De Meern";"De Meern";"3297";"Utrecht";"0344"
"Meerssen";"Meerssen";"1463";"Meerssen";"0938"
"Meerstad";"Meerstad";"3488";"Slochteren";"0040"
"Meeuwen";"Meeuwen";"1955";"Aalburg";"0738"
"Megchelen";"Megchelen";"1584";"Oude IJsselstreek";"1509"
"Megen";"Megen";"3251";"Oss";"0828"
"Meijel";"Meijel";"2140";"Peel en Maas";"1894"
"Melderslo";"Melderslo";"1034";"Horst aan de Maas";"1507"
"Melick";"Melick";"2591";"Roerdalen";"1669"
"Meliskerke";"Meliskerke";"2780";"Veere";"0717"
"Melissant";"Melissant";"2379";"Dirksland";"0504"
"Menaam";"Menaam";"2731";"Menameradiel";"1908"
"Mensingeweer";"Mensingeweer";"3421";"De Marne";"1663"
"Meppel";"Meppel";"1082";"Meppel";"0119"
"Meppen";"Meppen";"2157";"Coevorden";"0109"
"Merkelbeek";"Merkelbeek";"2847";"Onderbanken";"0881"
"Merselo";"Merselo";"2331";"Venray";"0984"
"Meteren";"Meteren";"3530";"Geldermalsen";"0236"
"Meterik";"Meterik";"1035";"Horst aan de Maas";"1507"
"Metslawier";"Metslawier";"3402";"Dongeradeel";"0058"
"Mheer";"Mheer";"1695";"Eijsden-Margraten";"1903"
"Middelaar";"Middelaar";"2801";"Mook en Middelaar";"0944"
"Middelburg";"Middelburg";"1007";"Middelburg";"0687"
"Middelharnis";"Middelharnis";"3143";"Middelharnis";"0559"
"Middelie";"Middelie";"1840";"Zeevang";"0478"
"Middelstum";"Middelstum";"3450";"Loppersum";"0024"
"Middenbeemster";"Middenbeemster";"2170";"Beemster";"0370"
"Middenmeer";"Middenmeer";"2434";"Hollands Kroon";"1911"
"Midlaren";"Midlaren";"2926";"Tynaarlo";"1730"
"Midlum";"Midlum";"2892";"Harlingen";"0072"
"Midsland";"Midsland";"2619";"Terschelling";"0093"
"Midwolda";"Midwolda";"1897";"Oldambt";"1895"
"Midwolde";"Midwolde";"2343";"Leek";"0022"
"Midwoud";"Midwoud";"3152";"Medemblik";"0420"
"Miedum";"Miedum";"1199";"Leeuwarden";"0080"
"Mierlo";"Mierlo";"1127";"Geldrop-Mierlo";"1771"
"Mijdrecht";"Mijdrecht";"1929";"De Ronde Venen";"0736"
"Mijnsheerenland";"Mijnsheerenland";"2383";"Binnenmaas";"0585"
"Mildam";"Mildam";"2191";"Heerenveen";"0074"
"Milheeze";"Milheeze";"2091";"Gemert-Bakel";"1652"
"Mill";"Mill";"1976";"Mill en Sint Hubert";"0815"
"Millingen aan de Rijn";"Millingen aan de Rijn";"2289";"Millingen aan de Rijn";"0265"
"Milsbeek";"Milsbeek";"2479";"Gennep";"0907"
"Minnertsga";"Minnertsga";"3333";"het Bildt";"0063"
"Mirns";"Mirns";"1678";"Gaasterlân-Sleat";"0653"
"Moddergat";"Moddergat";"3403";"Dongeradeel";"0058"
"De Moer";"De Moer";"3054";"Loon op Zand";"0809"
"Moerdijk";"Moerdijk";"1322";"Moerdijk";"1709"
"Moergestel";"Moergestel";"2647";"Oisterwijk";"0824"
"Moerkapelle";"Moerkapelle";"1212";"Zuidplas";"1892"
"Moerstraten";"Moerstraten";"1593";"Roosendaal";"1674"
"Molenaarsgraaf";"Molenaarsgraaf";"1983";"Graafstroom";"0693"
"Molenhoek";"Molenhoek";"2802";"Mook en Middelaar";"0944"
"Molenschot";"Molenschot";"2069";"Gilze en Rijen";"0784"
"Molkwerum";"Molkwerum";"1967";"Súdwest Fryslân";"1900"
"Monnickendam";"Monnickendam";"1944";"Waterland";"0852"
"Monster";"Monster";"2659";"Westland";"1783"
"Montfoort";"Montfoort";"1964";"Montfoort";"0335"
"Montfort";"Montfort";"2592";"Roerdalen";"1669"
"Mook";"Mook";"2803";"Mook en Middelaar";"0944"
"Mookhoek";"Mookhoek";"2796";"Strijen";"0617"
"Moordrecht";"Moordrecht";"1244";"Zuidplas";"1892"
"Moorveld";"Moorveld";"1464";"Meerssen";"0938"
"Morra";"Morra";"3404";"Dongeradeel";"0058"
"De Mortel";"De Mortel";"2093";"Gemert-Bakel";"1652"
"Muiden";"Muiden";"1518";"Muiden";"0424"
"Muiderberg";"Muiderberg";"1519";"Muiden";"0424"
"Mûnein";"Mûnein";"2446";"Tytsjerksteradiel";"0737"
"Munnekeburen";"Munnekeburen";"1725";"Weststellingwerf";"0098"
"Munnekezijl";"Munnekezijl";"3312";"Kollumerland en Nieuwkruisland";"0079"
"Munstergeleen";"Munstergeleen";"2816";"Sittard-Geleen";"1883"
"Muntendam";"Muntendam";"2278";"Menterwolde";"1987"
"Mussel";"Mussel";"3077";"Stadskanaal";"0037"
"Musselkanaal";"Musselkanaal";"3075";"Stadskanaal";"0037"
"Naaldwijk";"Naaldwijk";"2660";"Westland";"1783"
"Naarden";"Naarden";"1052";"Naarden";"0425"
"Nagele";"Nagele";"1278";"Noordoostpolder";"0171"
"Nederasselt";"Nederasselt";"3497";"Heumen";"0252"
"Nederhemert";"Nederhemert";"2633";"Zaltbommel";"0297"
"Nederhorst den Berg";"Nederhorst den Berg";"3003";"Wijdemeren";"1696"
"Nederland";"Nederland";"2706";"Steenwijkerland";"1708"
"Nederweert";"Nederweert";"2037";"Nederweert";"0946"
"Nederweert-Eind";"Nederweert-Eind";"2039";"Nederweert";"0946"
"Neede";"Neede";"1656";"Berkelland";"1859"
"Neer";"Neer";"2952";"Leudal";"1640"
"Neerijnen";"Neerijnen";"3363";"Neerijnen";"0304"
"Neeritter";"Neeritter";"2953";"Leudal";"1640"
"Neerkant";"Neerkant";"1777";"Deurne";"0762"
"Neerlangel";"Neerlangel";"3261";"Oss";"0828"
"Neerloon";"Neerloon";"3262";"Oss";"0828"
"Nes";"Nes";"2531";"Boarnsterhim";"0055"
"Nes";"Nes";"2588";"Ameland";"0060"
"Nes";"Nes";"3405";"Dongeradeel";"0058"
"Netersel";"Netersel";"1068";"Bladel";"1728"
"Netterden";"Netterden";"1583";"Oude IJsselstreek";"1509"
"Niawier";"Niawier";"3406";"Dongeradeel";"0058"
"Nibbixwoud";"Nibbixwoud";"3153";"Medemblik";"0420"
"Niebert";"Niebert";"2264";"Marum";"0025"
"Niehove";"Niehove";"2121";"Zuidhorn";"0056"
"Niekerk";"Niekerk";"3422";"De Marne";"1663"
"Niekerk";"Niekerk";"2178";"Grootegast";"0015"
"Nietap";"Nietap";"1642";"Noordenveld";"1699"
"Nieuw Annerveen";"Nieuw Annerveen";"1171";"Aa en Hunze";"1680"
"Nieuw Beerta";"Nieuw Beerta";"1421";"Oldambt";"1895"
"Nieuw- en Sint Joosland";"Nieuw- en Sint Joosland";"1009";"Middelburg";"0687"
"Nieuw Heeten";"Nieuw Heeten";"1499";"Raalte";"0177"
"Nieuw Namen";"Nieuw Namen";"3093";"Hulst";"0677"
"Nieuw Scheemda";"Nieuw Scheemda";"1894";"Oldambt";"1895"
"Nieuwaal";"Nieuwaal";"2634";"Zaltbommel";"0297"
"Nieuw-Amsterdam";"Nieuw-Amsterdam";"1993";"Emmen";"0114"
"Nieuw-Balinge";"Nieuw-Balinge";"3018";"Midden-Drenthe";"1731"
"Nieuw-Beijerland";"Nieuw-Beijerland";"2887";"Korendijk";"0588"
"Nieuw-Buinen";"Nieuw-Buinen";"1797";"Borger-Odoorn";"1681"
"Nieuw-Dordrecht";"Nieuw-Dordrecht";"1994";"Emmen";"0114"
"Nieuwdorp";"Nieuwdorp";"1259";"Borsele";"0654"
"Nieuwe Niedorp";"Nieuwe Niedorp";"2518";"Hollands Kroon";"1911"
"Nieuwe Pekela";"Nieuwe Pekela";"1398";"Pekela";"0765"
"Nieuwe Wetering";"Nieuwe Wetering";"3037";"Kaag en Braassem";"1884"
"Nieuwebrug";"Nieuwebrug";"2496";"Skarsterlân";"0051"
"Nieuwediep";"Nieuwediep";"1172";"Aa en Hunze";"1680"
"Nieuwegein";"Nieuwegein";"1108";"Nieuwegein";"0356"
"Nieuwehorne";"Nieuwehorne";"2194";"Heerenveen";"0074"
"Nieuwendijk";"Nieuwendijk";"2216";"Werkendam";"0870"
"Nieuwer Ter Aa";"Nieuwer Ter Aa";"1394";"Stichtse Vecht";"1904"
"Nieuwerbrug aan den Rijn";"Nieuwerbrug aan den Rijn";"2666";"Bodegraven-Reeuwijk";"1901"
"Nieuwerkerk";"Nieuwerkerk";"2680";"Schouwen-Duiveland";"1676"
"Nieuwerkerk aan den IJssel";"Nieuwerkerk aan den IJssel";"1016";"Zuidplas";"1892"
"Nieuweroord";"Nieuweroord";"3017";"Midden-Drenthe";"1731"
"Nieuweroord";"Nieuweroord";"1815";"Hoogeveen";"0118"
"Nieuwersluis";"Nieuwersluis";"2221";"Stichtse Vecht";"1904"
"Nieuweschoot";"Nieuweschoot";"2187";"Heerenveen";"0074"
"Nieuwe-Tonge";"Nieuwe-Tonge";"3144";"Middelharnis";"0559"
"Nieuwkoop";"Nieuwkoop";"2667";"Nieuwkoop";"0569"
"Nieuwkuijk";"Nieuwkuijk";"3502";"Heusden";"0797"
"Nieuwland";"Nieuwland";"2111";"Zederik";"0707"
"Nieuwlande";"Nieuwlande";"1816";"Hoogeveen";"0118"
"Nieuwlande Coevorden";"Nieuwlande Coevorden";"2158";"Coevorden";"0109"
"Nieuw-Lekkerland";"Nieuw-Lekkerland";"2795";"Nieuw-Lekkerland";"0571"
"Nieuwleusen";"Nieuwleusen";"1239";"Dalfsen";"0148"
"Nieuwolda";"Nieuwolda";"1896";"Oldambt";"1895"
"Nieuwpoort";"Nieuwpoort";"1807";"Liesveld";"0694"
"Nieuw-Roden";"Nieuw-Roden";"1643";"Noordenveld";"1699"
"Nieuw-Schoonebeek";"Nieuw-Schoonebeek";"1995";"Emmen";"0114"
"Nieuwstadt";"Nieuwstadt";"2047";"Echt-Susteren";"1711"
"Nieuwveen";"Nieuwveen";"2670";"Nieuwkoop";"0569"
"Nieuw-Vennep";"Nieuw-Vennep";"1602";"Haarlemmermeer";"0394"
"Nieuwvliet";"Nieuwvliet";"2969";"Sluis";"1714"
"Nieuw-Vossemeer";"Nieuw-Vossemeer";"1404";"Steenbergen";"0851"
"Nieuw-Weerdinge";"Nieuw-Weerdinge";"1996";"Emmen";"0114"
"Niezijl";"Niezijl";"2122";"Zuidhorn";"0056"
"Niftrik";"Niftrik";"2569";"Wijchen";"0296"
"Nigtevecht";"Nigtevecht";"2222";"Stichtse Vecht";"1904"
"Nij Altoenae";"Nij Altoenae";"3330";"het Bildt";"0063"
"Nij Beets";"Nij Beets";"3352";"Opsterland";"0086"
"Nijbroek";"Nijbroek";"2607";"Voorst";"0285"
"Nijeberkoop";"Nijeberkoop";"1761";"Ooststellingwerf";"0085"
"Nijega";"Nijega";"3284";"Smallingerland";"0090"
"Nijehaske";"Nijehaske";"2497";"Skarsterlân";"0051"
"Nijeholtpade";"Nijeholtpade";"1726";"Weststellingwerf";"0098"
"Nijeholtwolde";"Nijeholtwolde";"1727";"Weststellingwerf";"0098"
"Nijelamer";"Nijelamer";"1728";"Weststellingwerf";"0098"
"Nijemirdum";"Nijemirdum";"1679";"Gaasterlân-Sleat";"0653"
"Nijensleek";"Nijensleek";"3116";"Westerveld";"1701"
"Nijetrijne";"Nijetrijne";"1729";"Weststellingwerf";"0098"
"Nijeveen";"Nijeveen";"1083";"Meppel";"0119"
"Nijhuizum";"Nijhuizum";"1972";"Súdwest Fryslân";"1900"
"Nijkerk";"Nijkerk";"2869";"Nijkerk";"0267"
"Nijkerkerveen";"Nijkerkerveen";"2870";"Nijkerk";"0267"
"Nijland";"Nijland";"2414";"Súdwest Fryslân";"1900"
"Nijlande";"Nijlande";"1173";"Aa en Hunze";"1680"
"Nijmegen";"Nijmegen";"3030";"Nijmegen";"0268"
"Nijverdal";"Nijverdal";"1042";"Hellendoorn";"0163"
"Nispen";"Nispen";"1591";"Roosendaal";"1674"
"Nisse";"Nisse";"1260";"Borsele";"0654"
"Nistelrode";"Nistelrode";"3062";"Bernheze";"1721"
"Noardburgum";"Noardburgum";"2450";"Tytsjerksteradiel";"0737"
"Nooitgedacht";"Nooitgedacht";"1174";"Aa en Hunze";"1680"
"Noorbeek";"Noorbeek";"1696";"Eijsden-Margraten";"1903"
"Noordbeemster";"Noordbeemster";"2171";"Beemster";"0370"
"Noordbroek";"Noordbroek";"2279";"Menterwolde";"1987"
"Noordeinde";"Noordeinde";"1905";"Graft-De Rijp";"0365"
"Noordeinde (Gld.)";"Noordeinde (Gld.)";"3070";"Oldebroek";"0269"
"Noordeloos";"Noordeloos";"1436";"Giessenlanden";"0689"
"Noorden";"Noorden";"2668";"Nieuwkoop";"0569"
"Noordgouwe";"Noordgouwe";"2681";"Schouwen-Duiveland";"1676"
"Noordhoek";"Noordhoek";"1325";"Moerdijk";"1709"
"Noordhorn";"Noordhorn";"2123";"Zuidhorn";"0056"
"Noordlaren";"Noordlaren";"1268";"Haren";"0017"
"Noord-Scharwoude";"Noord-Scharwoude";"1118";"Langedijk";"0416"
"Noordscheschut";"Noordscheschut";"1817";"Hoogeveen";"0118"
"Noord-Sleen";"Noord-Sleen";"2159";"Coevorden";"0109"
"Noordwelle";"Noordwelle";"2682";"Schouwen-Duiveland";"1676"
"Noordwijk";"Noordwijk";"2265";"Marum";"0025"
"Noordwijk";"Noordwijk";"2061";"Noordwijk";"0575"
"Noordwijkerhout";"Noordwijkerhout";"1927";"Noordwijkerhout";"0576"
"Noordwolde";"Noordwolde";"2830";"Bedum";"0005"
"Noordwolde";"Noordwolde";"1730";"Weststellingwerf";"0098"
"Nootdorp";"Nootdorp";"1142";"Pijnacker-Nootdorp";"1926"
"Norg";"Norg";"1644";"Noordenveld";"1699"
"Notter";"Notter";"1090";"Wierden";"0189"
"Nuenen";"Nuenen";"2136";"Nuenen, Gerwen en Nederwetten";"0820"
"Nuis";"Nuis";"2266";"Marum";"0025"
"Nuland";"Nuland";"2748";"Maasdonk";"1671"
"Numansdorp";"Numansdorp";"2372";"Cromstrijen";"0611"
"Nunhem";"Nunhem";"2954";"Leudal";"1640"
"Nunspeet";"Nunspeet";"2982";"Nunspeet";"0302"
"Nuth";"Nuth";"2358";"Nuth";"0951"
"Nutter";"Nutter";"1411";"Dinkelland";"1774"
"Obbicht";"Obbicht";"2817";"Sittard-Geleen";"1883"
"Obdam";"Obdam";"1187";"Koggenland";"1598"
"Ochten";"Ochten";"1097";"Neder-Betuwe";"1740"
"Odijk";"Odijk";"2604";"Bunnik";"0312"
"Odiliapeel";"Odiliapeel";"1849";"Uden";"0856"
"Odoorn";"Odoorn";"1798";"Borger-Odoorn";"1681"
"Odoornerveen";"Odoornerveen";"1799";"Borger-Odoorn";"1681"
"Oeffelt";"Oeffelt";"1219";"Boxmeer";"0756"
"Oegstgeest";"Oegstgeest";"2744";"Oegstgeest";"0579"
"Oene";"Oene";"1347";"Epe";"0232"
"Oentsjerk";"Oentsjerk";"2443";"Tytsjerksteradiel";"0737"
"Den Oever";"Den Oever";"1489";"Hollands Kroon";"1911"
"Offingawier";"Offingawier";"3506";"Súdwest Fryslân";"1900"
"Ohé en Laak";"Ohé en Laak";"1923";"Maasgouw";"1641"
"Oijen";"Oijen";"3470";"Oss";"0828"
"Oirlo";"Oirlo";"2332";"Venray";"0984"
"Oirsbeek";"Oirsbeek";"2101";"Schinnen";"0962"
"Oirschot";"Oirschot";"1207";"Oirschot";"0823"
"Oisterwijk";"Oisterwijk";"2646";"Oisterwijk";"0824"
"Okkenbroek";"Okkenbroek";"2859";"Deventer";"0150"
"Olburgen";"Olburgen";"1529";"Bronckhorst";"1876"
"Oldeberkoop";"Oldeberkoop";"1762";"Ooststellingwerf";"0085"
"Oldebroek";"Oldebroek";"3071";"Oldebroek";"0269"
"Oldeholtpade";"Oldeholtpade";"1731";"Weststellingwerf";"0098"
"Oldeholtwolde";"Oldeholtwolde";"1732";"Weststellingwerf";"0098"
"Oldehove";"Oldehove";"2124";"Zuidhorn";"0056"
"Oldekerk";"Oldekerk";"2179";"Grootegast";"0015"
"Oldelamer";"Oldelamer";"1733";"Weststellingwerf";"0098"
"Oldemarkt";"Oldemarkt";"2707";"Steenwijkerland";"1708"
"Oldenzaal";"Oldenzaal";"1668";"Oldenzaal";"0173"
"Oldenzijl";"Oldenzijl";"3476";"Eemsmond";"1651"
"Oldeouwer";"Oldeouwer";"2498";"Skarsterlân";"0051"
"Oldetrijne";"Oldetrijne";"1734";"Weststellingwerf";"0098"
"Olst";"Olst";"1379";"Olst-Wijhe";"1773"
"Olterterp";"Olterterp";"3353";"Opsterland";"0086"
"Ommel";"Ommel";"2930";"Asten";"0743"
"Ommen";"Ommen";"2546";"Ommen";"0175"
"Ommeren";"Ommeren";"3381";"Buren";"0214"
"Onderdendam";"Onderdendam";"2831";"Bedum";"0005"
"Onna";"Onna";"2708";"Steenwijkerland";"1708"
"Onnen";"Onnen";"1269";"Haren";"0017"
"Onstwedde";"Onstwedde";"3076";"Stadskanaal";"0037"
"Ooij";"Ooij";"2877";"Ubbergen";"0282"
"Ooltgensplaat";"Ooltgensplaat";"2133";"Oostflakkee";"0580"
"Oost West en Middelbeers";"Oost West en Middelbeers";"1208";"Oirschot";"0823"
"Oostburg";"Oostburg";"2960";"Sluis";"1714"
"Oostdijk";"Oostdijk";"3464";"Reimerswaal";"0703"
"Oosteind";"Oosteind";"2957";"Oosterhout";"0826"
"Oosterbeek";"Oosterbeek";"2990";"Renkum";"0274"
"Oosterbierum";"Oosterbierum";"1375";"Franekeradeel";"0070"
"Oosterblokker";"Oosterblokker";"1509";"Drechterland";"0498"
"Oosterend";"Oosterend";"2614";"Terschelling";"0093"
"Oosterend (NH.)";"Oosterend (NH.)";"2742";"Texel";"0448"
"Oosterhesselen";"Oosterhesselen";"2160";"Coevorden";"0109"
"Oosterhout";"Oosterhout";"1869";"Overbetuwe";"1734"
"Oosterhout";"Oosterhout";"2956";"Oosterhout";"0826"
"Oosterland";"Oosterland";"2683";"Schouwen-Duiveland";"1676"
"Oosterleek";"Oosterleek";"1510";"Drechterland";"0498"
"Oosternieland";"Oosternieland";"3477";"Eemsmond";"1651"
"Oosternijkerk";"Oosternijkerk";"3407";"Dongeradeel";"0058"
"Oosterstreek";"Oosterstreek";"1735";"Weststellingwerf";"0098"
"Oosterwijk";"Oosterwijk";"2274";"Leerdam";"0545"
"Oosterwijtwerd";"Oosterwijtwerd";"3451";"Loppersum";"0024"
"Oosterwolde";"Oosterwolde";"1763";"Ooststellingwerf";"0085"
"Oosterwolde (Gld.)";"Oosterwolde (Gld.)";"3072";"Oldebroek";"0269"
"Oosterzee";"Oosterzee";"2246";"Lemsterland";"0082"
"Oost-Graftdijk";"Oost-Graftdijk";"1906";"Graft-De Rijp";"0365"
"Oosthem";"Oosthem";"2415";"Súdwest Fryslân";"1900"
"Oosthuizen";"Oosthuizen";"1841";"Zeevang";"0478"
"Oostkapelle";"Oostkapelle";"2781";"Veere";"0717"
"Oostknollendam";"Oostknollendam";"2285";"Wormerland";"0880"
"Oostrum";"Oostrum";"2333";"Venray";"0984"
"Oostrum";"Oostrum";"3408";"Dongeradeel";"0058"
"Oost-Souburg";"Oost-Souburg";"1076";"Vlissingen";"0718"
"Oostvoorne";"Oostvoorne";"1209";"Westvoorne";"0614"
"Oostwold";"Oostwold";"1898";"Oldambt";"1895"
"Oostwold";"Oostwold";"2344";"Leek";"0022"
"Oostwoud";"Oostwoud";"3154";"Medemblik";"0420"
"Oostzaan";"Oostzaan";"2113";"Oostzaan";"0431"
"Ootmarsum";"Ootmarsum";"1412";"Dinkelland";"1774"
"Opeinde";"Opeinde";"3285";"Smallingerland";"0090"
"Opende";"Opende";"2180";"Grootegast";"0015"
"Ophemert";"Ophemert";"3364";"Neerijnen";"0304"
"Opheusden";"Opheusden";"1098";"Neder-Betuwe";"1740"
"Opijnen";"Opijnen";"3365";"Neerijnen";"0304"
"Oploo";"Oploo";"2082";"Sint Anthonis";"1702"
"Opmeer";"Opmeer";"2791";"Opmeer";"0432"
"Oppenhuizen";"Oppenhuizen";"2416";"Súdwest Fryslân";"1900"
"Opperdoes";"Opperdoes";"3155";"Medemblik";"0420"
"Oranje";"Oranje";"3019";"Midden-Drenthe";"1731"
"Oranjewoud";"Oranjewoud";"2189";"Heerenveen";"0074"
"Orvelte";"Orvelte";"3020";"Midden-Drenthe";"1731"
"Ospel";"Ospel";"2038";"Nederweert";"0946"
"Oss";"Oss";"3249";"Oss";"0828"
"Ossendrecht";"Ossendrecht";"1002";"Woensdrecht";"0873"
"Ossenisse";"Ossenisse";"3102";"Hulst";"0677"
"Ossenwaard";"Ossenwaard";"2842";"Vianen";"0620"
"Ossenzijl";"Ossenzijl";"2709";"Steenwijkerland";"1708"
"Oterleek";"Oterleek";"1888";"Schermer";"0458"
"Otterlo";"Otterlo";"2767";"Ede";"0228"
"Ottersum";"Ottersum";"2480";"Gennep";"0907"
"Ottoland";"Ottoland";"1984";"Graafstroom";"0693"
"Oud Ade";"Oud Ade";"3038";"Kaag en Braassem";"1884"
"Oud Annerveen";"Oud Annerveen";"1175";"Aa en Hunze";"1680"
"Oud Gastel";"Oud Gastel";"1248";"Halderberge";"1655"
"Oud Ootmarsum";"Oud Ootmarsum";"1413";"Dinkelland";"1774"
"Oud Zuilen";"Oud Zuilen";"2066";"Stichtse Vecht";"1904"
"Oud-Alblas";"Oud-Alblas";"1985";"Graafstroom";"0693"
"Oud-Beijerland";"Oud-Beijerland";"2793";"Oud-Beijerland";"0584"
"Ouddorp";"Ouddorp";"2932";"Goedereede";"0511"
"Oude Meer";"Oude Meer";"1599";"Haarlemmermeer";"0394"
"Oude Niedorp";"Oude Niedorp";"2519";"Hollands Kroon";"1911"
"Oude Pekela";"Oude Pekela";"1397";"Pekela";"0765"
"Oude Wetering";"Oude Wetering";"3039";"Kaag en Braassem";"1884"
"Oude Willem";"Oude Willem";"3117";"Westerveld";"1701"
"Oudebildtzijl";"Oudebildtzijl";"3328";"het Bildt";"0063"
"Oudega";"Oudega";"1680";"Gaasterlân-Sleat";"0653"
"Oudega";"Oudega";"3286";"Smallingerland";"0090"
"Oudega";"Oudega";"2417";"Súdwest Fryslân";"1900"
"Oudehaske";"Oudehaske";"2499";"Skarsterlân";"0051"
"Oudehorne";"Oudehorne";"2195";"Heerenveen";"0074"
"Oudelande";"Oudelande";"1261";"Borsele";"0654"
"Oudemirdum";"Oudemirdum";"1681";"Gaasterlân-Sleat";"0653"
"Oudemolen";"Oudemolen";"2917";"Tynaarlo";"1730"
"Oudemolen";"Oudemolen";"1320";"Moerdijk";"1709"
"Oudenbosch";"Oudenbosch";"1246";"Halderberge";"1655"
"Oudendijk";"Oudendijk";"1188";"Koggenland";"1598"
"Oudenhoorn";"Oudenhoorn";"1388";"Bernisse";"0568"
"Ouderkerk aan de Amstel";"Ouderkerk aan de Amstel";"2129";"Ouder-Amstel";"0437"
"Ouderkerk aan den IJssel";"Ouderkerk aan den IJssel";"2373";"Ouderkerk";"0644"
"Oudeschans";"Oudeschans";"2233";"Bellingwedde";"0007"
"Oudeschild";"Oudeschild";"2743";"Texel";"0448"
"Oudeschip";"Oudeschip";"3478";"Eemsmond";"1651"
"Oudeschoot";"Oudeschoot";"2188";"Heerenveen";"0074"
"Oudesluis";"Oudesluis";"2763";"Zijpe";"0476"
"Oude-Tonge";"Oude-Tonge";"2134";"Oostflakkee";"0580"
"Oudewater";"Oudewater";"1910";"Oudewater";"0589"
"Oudezijl";"Oudezijl";"1423";"Oldambt";"1895"
"Oudheusden";"Oudheusden";"3519";"Heusden";"0797"
"Oudkarspel";"Oudkarspel";"1119";"Langedijk";"0416"
"Oudkarspel";"Oudkarspel";"3290";"Harenkarspel";"0395"
"Oudorp";"Oudorp";"2350";"Alkmaar";"0361"
"Oud-Vossemeer";"Oud-Vossemeer";"2077";"Tholen";"0716"
"Oudwoude";"Oudwoude";"3313";"Kollumerland en Nieuwkruisland";"0079"
"Ouwerkerk";"Ouwerkerk";"2684";"Schouwen-Duiveland";"1676"
"Ouwsterhaule";"Ouwsterhaule";"2500";"Skarsterlân";"0051"
"Ouwster-Nijega";"Ouwster-Nijega";"2501";"Skarsterlân";"0051"
"Overasselt";"Overasselt";"3496";"Heumen";"0252"
"Overberg";"Overberg";"3338";"Utrechtse Heuvelrug";"1581"
"Overdinkel";"Overdinkel";"1715";"Losser";"0168"
"Overlangel";"Overlangel";"3263";"Oss";"0828"
"Overloon";"Overloon";"1220";"Boxmeer";"0756"
"Overschild";"Overschild";"1354";"Slochteren";"0040"
"Overslag";"Overslag";"1132";"Terneuzen";"0715"
"Overveen";"Overveen";"2653";"Bloemendaal";"0377"
"Ovezande";"Ovezande";"1262";"Borsele";"0654"
"Paasloo";"Paasloo";"2710";"Steenwijkerland";"1708"
"Paesens";"Paesens";"3409";"Dongeradeel";"0058"
"Pannerden";"Pannerden";"2979";"Rijnwaarden";"0196"
"Panningen";"Panningen";"3443";"Peel en Maas";"1894"
"Papekop";"Papekop";"1911";"Oudewater";"0589"
"Papendrecht";"Papendrecht";"1477";"Papendrecht";"0590"
"Papenhoven";"Papenhoven";"2818";"Sittard-Geleen";"1883"
"Papenvoort";"Papenvoort";"1176";"Aa en Hunze";"1680"
"Parrega";"Parrega";"2319";"Súdwest Fryslân";"1900"
"Paterswolde";"Paterswolde";"2910";"Tynaarlo";"1730"
"Peest";"Peest";"1645";"Noordenveld";"1699"
"Peins";"Peins";"1368";"Franekeradeel";"0070"
"Peize";"Peize";"1646";"Noordenveld";"1699"
"Peperga";"Peperga";"1736";"Weststellingwerf";"0098"
"Pernis Rotterdam";"Pernis Rotterdam";"3085";"Rotterdam";"0599"
"Persingen";"Persingen";"2878";"Ubbergen";"0282"
"Pesse";"Pesse";"3118";"Westerveld";"1701"
"Pesse";"Pesse";"1818";"Hoogeveen";"0118"
"Petten";"Petten";"2761";"Zijpe";"0476"
"Philippine";"Philippine";"1133";"Terneuzen";"0715"
"Piaam";"Piaam";"2320";"Súdwest Fryslân";"1900"
"Piershil";"Piershil";"2888";"Korendijk";"0588"
"Pieterburen";"Pieterburen";"3423";"De Marne";"1663"
"Pietersbierum";"Pietersbierum";"1374";"Franekeradeel";"0070"
